2022-10-20 21:24:52,159 prepare dataset.
2022-10-20 21:25:07,151 prepare data loader.
2022-10-20 21:25:07,152 Initializing DataLoader.
2022-10-20 21:25:07,156 DataLoader already.
2022-10-20 21:25:07,156 prepare model.
2022-10-20 21:25:07,385 Number of semantic embeddings: 1178.
2022-10-20 21:25:14,927 From /data/wangjinpeng/anaconda3/envs/py37torch/lib/python3.7/site-packages/tensorflow_core/python/ops/math_grad.py:1424: where (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where.
2022-10-20 21:25:27,917 begin training.
2022-10-20 21:25:48,203 step [   1], lr [0.0003000], embedding loss [ 0.8954], quantization loss [ 0.0000], 17.57 sec/batch.
2022-10-20 21:25:51,489 step [   2], lr [0.0003000], embedding loss [ 0.8759], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:25:54,608 step [   3], lr [0.0003000], embedding loss [ 0.8597], quantization loss [ 0.0000],  0.54 sec/batch.
2022-10-20 21:25:57,849 step [   4], lr [0.0003000], embedding loss [ 0.8474], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:26:01,083 step [   5], lr [0.0003000], embedding loss [ 0.8512], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:26:04,367 step [   6], lr [0.0003000], embedding loss [ 0.8467], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:26:07,664 step [   7], lr [0.0003000], embedding loss [ 0.8414], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:26:10,932 step [   8], lr [0.0003000], embedding loss [ 0.8491], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 21:26:14,217 step [   9], lr [0.0003000], embedding loss [ 0.8445], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:26:17,407 step [  10], lr [0.0003000], embedding loss [ 0.8474], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:26:20,716 step [  11], lr [0.0003000], embedding loss [ 0.8450], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:26:24,044 step [  12], lr [0.0003000], embedding loss [ 0.8366], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:26:27,329 step [  13], lr [0.0003000], embedding loss [ 0.8385], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:26:30,692 step [  14], lr [0.0003000], embedding loss [ 0.8473], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:26:34,013 step [  15], lr [0.0003000], embedding loss [ 0.8416], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:26:37,295 step [  16], lr [0.0003000], embedding loss [ 0.8364], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 21:26:40,490 step [  17], lr [0.0003000], embedding loss [ 0.8400], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:26:43,755 step [  18], lr [0.0003000], embedding loss [ 0.8428], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:26:47,099 step [  19], lr [0.0003000], embedding loss [ 0.8365], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:26:50,462 step [  20], lr [0.0003000], embedding loss [ 0.8402], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:26:53,802 step [  21], lr [0.0003000], embedding loss [ 0.8380], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:26:57,096 step [  22], lr [0.0003000], embedding loss [ 0.8445], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 21:27:00,390 step [  23], lr [0.0003000], embedding loss [ 0.8383], quantization loss [ 0.0000],  0.54 sec/batch.
2022-10-20 21:27:03,664 step [  24], lr [0.0003000], embedding loss [ 0.8410], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:27:06,981 step [  25], lr [0.0003000], embedding loss [ 0.8379], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:27:10,336 step [  26], lr [0.0003000], embedding loss [ 0.8400], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 21:27:13,747 step [  27], lr [0.0003000], embedding loss [ 0.8336], quantization loss [ 0.0000],  0.54 sec/batch.
2022-10-20 21:27:17,123 step [  28], lr [0.0003000], embedding loss [ 0.8393], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:27:20,426 step [  29], lr [0.0003000], embedding loss [ 0.8328], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 21:27:23,750 step [  30], lr [0.0003000], embedding loss [ 0.8438], quantization loss [ 0.0000],  0.56 sec/batch.
