2022-10-18 23:12:03,037 prepare dataset.
2022-10-18 23:12:07,171 prepare data loader.
2022-10-18 23:12:07,172 Initializing DataLoader.
2022-10-18 23:12:07,175 DataLoader already.
2022-10-18 23:12:07,175 prepare model.
2022-10-18 23:12:07,352 Number of semantic embeddings: 928.
2022-10-18 23:12:14,688 From /data/wangjinpeng/anaconda3/envs/py37torch/lib/python3.7/site-packages/tensorflow_core/python/ops/math_grad.py:1424: where (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where.
2022-10-18 23:12:27,742 begin training.
2022-10-18 23:12:45,856 step [   1], lr [0.0003000], embedding loss [ 0.8951], quantization loss [ 0.0000], 13.05 sec/batch.
2022-10-18 23:12:50,891 step [   2], lr [0.0003000], embedding loss [ 0.8666], quantization loss [ 0.0000],  0.58 sec/batch.
2022-10-18 23:12:55,660 step [   3], lr [0.0003000], embedding loss [ 0.8456], quantization loss [ 0.0000],  0.53 sec/batch.
2022-10-18 23:13:00,406 step [   4], lr [0.0003000], embedding loss [ 0.8376], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-18 23:13:05,013 step [   5], lr [0.0003000], embedding loss [ 0.8377], quantization loss [ 0.0000],  0.58 sec/batch.
2022-10-18 23:13:09,660 step [   6], lr [0.0003000], embedding loss [ 0.8264], quantization loss [ 0.0000],  0.54 sec/batch.
2022-10-18 23:13:15,188 step [   7], lr [0.0003000], embedding loss [ 0.8238], quantization loss [ 0.0000],  0.60 sec/batch.
2022-10-18 23:13:19,722 step [   8], lr [0.0003000], embedding loss [ 0.8226], quantization loss [ 0.0000],  0.59 sec/batch.
2022-10-18 23:13:24,460 step [   9], lr [0.0003000], embedding loss [ 0.8108], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-18 23:13:28,650 step [  10], lr [0.0003000], embedding loss [ 0.8225], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-18 23:13:33,196 step [  11], lr [0.0003000], embedding loss [ 0.8138], quantization loss [ 0.0000],  0.58 sec/batch.
2022-10-18 23:13:37,486 step [  12], lr [0.0003000], embedding loss [ 0.8063], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-18 23:13:42,112 step [  13], lr [0.0003000], embedding loss [ 0.8153], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-18 23:13:46,860 step [  14], lr [0.0003000], embedding loss [ 0.8063], quantization loss [ 0.0000],  0.53 sec/batch.
2022-10-18 23:13:51,264 step [  15], lr [0.0003000], embedding loss [ 0.8090], quantization loss [ 0.0000],  0.58 sec/batch.
2022-10-18 23:13:55,227 step [  16], lr [0.0003000], embedding loss [ 0.8015], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-18 23:13:59,548 step [  17], lr [0.0003000], embedding loss [ 0.8045], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-18 23:14:03,965 step [  18], lr [0.0003000], embedding loss [ 0.7934], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-18 23:14:08,091 step [  19], lr [0.0003000], embedding loss [ 0.8030], quantization loss [ 0.0000],  0.52 sec/batch.
2022-10-18 23:14:12,589 step [  20], lr [0.0003000], embedding loss [ 0.8032], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-18 23:14:16,698 step [  21], lr [0.0003000], embedding loss [ 0.7944], quantization loss [ 0.0000],  0.52 sec/batch.
2022-10-18 23:14:20,623 step [  22], lr [0.0003000], embedding loss [ 0.7986], quantization loss [ 0.0000],  0.58 sec/batch.
2022-10-18 23:14:24,576 step [  23], lr [0.0003000], embedding loss [ 0.7896], quantization loss [ 0.0000],  0.52 sec/batch.
2022-10-18 23:14:28,896 step [  24], lr [0.0003000], embedding loss [ 0.7899], quantization loss [ 0.0000],  0.53 sec/batch.
2022-10-18 23:14:33,145 step [  25], lr [0.0003000], embedding loss [ 0.7817], quantization loss [ 0.0000],  0.52 sec/batch.
2022-10-18 23:14:37,146 step [  26], lr [0.0003000], embedding loss [ 0.7949], quantization loss [ 0.0000],  0.52 sec/batch.
